Phytoplankton Monitoring Programme results,,,,,,,,,,,,,,,
Sample number,Production area,Bed ID,Local authority,"Grid reference

Note 1             ",Sampling point,Date sample collected,"Alexandrium spp. 
cells L-1
(PSP)","Dinophysiaceae 
cells L-1
(DSP)","Prorocentrum lima 
cells L-1
(DSP)","Pseudo-nitzschia spp. 
cells L-1
(ASP) ","Ligulodinium polyedrum 
cells L-1
(Yessotoxin)","Protoceratium reticulatum 
cells L-1
(Yessotoxin) ","Prorocentrum cordatum 
cells L-1
(Venerupin) ",,
607/21,Bigbury upon Avon,B030J,South Hams DC,SX67114467,South Hexdown North,8/9/2021,ND,ND,ND,12640,ND,ND,ND,,
608/21,Dart,B028P,South Hams DC,SX87945350,Long Wood South,8/9/2021,ND,ND,ND,500,ND,ND,ND,,
609/21,Taw/Torridge,B36AB,Torridge DC,SS46573142,Spratt Ridge East,8/9/2021,ND,ND,ND,2400,ND,ND,400,,
610/21,The Wash,B003V,Boston BC,TF44234098,Toft,8/9/2021,ND,ND,ND,300,ND,ND,ND,,
611/21,Poole,B54CI,"Bournemouth, Poole and Christchurch Council",SZ01818871,West Brownsea 1,8/10/2021,ND,ND,ND,160,ND,ND,ND,,
612/21,Burry Inlet,B038I,City and Council of Swansea,SS50509590,South East 4,8/10/2021,ND,ND,ND,ND,ND,ND,ND,,
613/21,Burry Inlet,B038L,City and Council of Swansea,SS43409470,Whitford Point,8/9/2021,ND,ND,100,ND,ND,ND,ND,,
614/21,Helford,B034W,Cornwall PHA,SW75462765,Porth Navas Quay,8/10/2021,ND,ND,ND,ND,ND,ND,ND,,
615/21,The Fleet,B25AI,Dorset Council,SY66477627,Fleet Oysters,8/10/2021,ND,ND,ND,520,ND,ND,ND,,
616/21,Butley,B009E,East Suffolk DC,TM39434850,Pumping Station Outfall,8/10/2021,ND,ND,ND,ND,ND,ND,ND,,
617/21,The Wash,B04AP,Kings Lynn & W Norfolk BC,TF65963701,Stubborn Sand,8/9/2021,ND,ND,ND,ND,ND,ND,ND,,
618/21,The Thames,B16CN,London PHA,TR06779599,Crouch Approach,8/10/2021,ND,ND,ND,ND,ND,ND,ND,,
619/21,The Thames,B16CM,London PHA,TR00508769,East of Havengore Creek,8/10/2021,ND,ND,ND,ND,ND,ND,ND,,
620/21,The Thames,B16BR,London PHA,TQ93798271,Phoenix,8/10/2021,ND,ND,ND,ND,ND,ND,ND,,
621/21,Blakeney,B006R,North Norfolk DC,TF91804549,Wells - The Pool,8/10/2021,ND,ND,ND,ND,ND,ND,ND,,
622/21,Milford Haven,B39CZ,Pembrokeshire CC,SM89000275,Tethys Oyster,8/9/2021,ND,ND,ND,560,ND,ND,ND,,
623/21,Porlock,B094D,Somerset West and Taunton Council,SS87114787,Porlock East,8/10/2021,ND,ND,ND,80,ND,ND,ND,,
624/21,Fal,B33AN,Cornwall PHA,SW81963551,Mylor Creek,8/11/2021,ND,40,ND,480,ND,ND,40,,
625/21,Fal,B033Y,Cornwall PHA,SW85024095,Ruan Pontoon/Tregothnan,8/11/2021,ND,ND,ND,160,ND,ND,120,,
626/21,Fal,B33BD,Cornwall PHA,SW84093949,Trelissick Pontoon,8/11/2021,ND,ND,ND,200,ND,ND,ND,,
627/21,Porthallow Cove,B34AA,Cornwall PHA,SW80212383,Porthallow North,8/11/2021,ND,ND,ND,12280,ND,ND,40,,
628/21,Menai Strait East,B055S,Gwynedd CC,SH58337328,West of Bangor Pier,8/10/2021,ND,ND,ND,6280,ND,ND,ND,,
629/21,Menai Strait West,B042O,Gwynedd CC,SH49916579,Area 11 East,8/11/2021,ND,ND,ND,2600,ND,ND,ND,,
630/21,Solent,B24BK,Southampton PHA,SZ57479794,Browndown,8/11/2021,ND,ND,ND,ND,ND,ND,ND,,
631/21,Southampton Water,B21AT,Southampton PHA,SU48760530,Hamble Estuary,8/11/2021,ND,ND,ND,ND,ND,ND,ND,,
632/21,Swale,B076P,Swale BC,TR01316497,The Causeway,8/11/2021,ND,ND,ND,ND,ND,ND,ND,,
633/21,Exe,B26BH,Teignbridge DC,SX97948072,Cockwood Harbour,8/11/2021,ND,ND,ND,3300,ND,ND,ND,,
634/21,Teign,B27AC,Teignbridge DC,SX92827284,Gas Works East,8/11/2021,ND,ND,ND,5040,ND,ND,ND,,
635/21,Brixham,B082B,Torbay BC,SX90965741,Fishcombe SW Corner,8/11/2021,ND,ND,ND,920,ND,ND,ND,,
636/21,Lyme Bay,B090M,Torbay BC,UNVERIFIED,Site 1,8/10/2021,ND,ND,ND,16480,ND,ND,ND,,
637/21,Deben,B010O,East Suffolk DC,TM28834500,Stonner Point,8/10/2021,ND,ND,ND,ND,ND,ND,ND,,
638/21,Dee,B45AB,Flintshire CC,SJ17568056,Salisbury,8/12/2021,ND,ND,ND,15200,ND,ND,ND,,
639/21,Lantivet Bay,B70AH,Cornwall PHA,SX16305094,Sandheap Point,8/16/2021,ND,ND,ND,13720,ND,ND,ND,,
640/21,Mevagissey Bay,B70AK,Cornwall PHA,SX05214698,South Mevagissey Bottom,8/16/2021,ND,40,ND,188000,ND,ND,ND,,
641/21,St Austell Bay,B70AE,Cornwall PHA,SX05744972,Ropehaven Outer,8/16/2021,ND,ND,ND,43520,ND,ND,40,,
642/21,Portland,B25AK,Dorset Council,SY68707757,Site A,8/16/2021,ND,ND,ND,880,ND,ND,ND,,
643/21,Brancaster,B05AS,Kings Lynn & W Norfolk BC,TF79884539,Norton Creek Mussels,8/16/2021,ND,ND,ND,680,ND,ND,ND,,
644/21,Swansea,B037U,Swansea PHA,SS67659210,Queens Dock,8/16/2021,ND,ND,ND,39680,ND,ND,ND,,
645/21,North Kent Coast,B17BS,Canterbury CC,TR10326689,WOCO Westbeach,8/17/2021,ND,ND,ND,ND,ND,ND,ND,,
646/21,Burry Inlet,B038L,City and Council of Swansea,SS43409470,Whitford Point,8/18/2021,ND,ND,ND,ND,ND,ND,ND,,
647/21,West Mersea,B013Z,Colchester BC,TM00001301,The Hard,8/18/2021,ND,ND,ND,ND,ND,ND,ND,,
649/21,Helford,B034W,Cornwall PHA,SW75462765,Porth Navas Quay,8/18/2021,ND,ND,ND,520,ND,ND,ND,,
650/21,Blackwater,B14AD,Maldon DC,TM04060768,St Peters Flats,8/18/2021,ND,ND,ND,ND,ND,ND,ND,,
651/21,Start Bay,B087I,South Hams DC,SX84724671,Off Strete,8/18/2021,ND,ND,ND,17960,ND,ND,ND,,
652/21,Lune,BO66Z,Wyre BC,SD34194862,Knott Spit,8/18/2021,"Unable to analyse, too much sediment","Unable to analyse, too much sediment","Unable to analyse, too much sediment","Unable to analyse, too much sediment","Unable to analyse, too much sediment","Unable to analyse, too much sediment","Unable to analyse, too much sediment",,
654/21,Roach,B73AF,London PHA,TQ94909207,Paglesham,8/19/2021,ND,ND,ND,ND,ND,ND,ND,,
655/21,Taw/Torridge,B36AB,Torridge DC,SS46573142,Spratt Ridge East,8/19/2021,ND,ND,ND,3840,ND,ND,ND,,
656/21,Anglesey - Red Wharf Bay,B057J,Ynys Mon CC,SH53148022,Nodwydd,8/19/2021,ND,ND,ND,30760,ND,ND,ND,,
657/21,Morecambe Bay - Barrow,B077Q,Barrow-in-Furness BC,SD23116464,Roa Island,8/23/2021,ND,ND,ND,1400,ND,ND,ND,,
658/21,The Fleet,B25AI,Dorset Council,SY66477627,Fleet Oysters,8/23/2021,ND,ND,ND,ND,ND,ND,ND,,
659/21,The Thames,B16CN,London PHA,TR06779599,Crouch Approach,8/23/2021,ND,ND,ND,ND,ND,ND,ND,,
660/21,The Thames,B16CM,London PHA,TR00508769,East of Havengore Creek,8/23/2021,ND,40,ND,160,ND,ND,ND,,
661/21,The Thames,B16BR,London PHA,TQ93798271,Phoenix,8/23/2021,ND,ND,ND,ND,ND,ND,ND,,
662/21,Burry Inlet,B038Y,Carmarthenshire CC,SS50209860,Machynys,8/24/2021,ND,ND,400,ND,ND,ND,ND,,
663/21,Conwy,B044V,Conwy CBC,SH76317972,Conwy West,8/24/2021,ND,ND,ND,6600,ND,ND,ND,,
664/21,Camel,B35AE,Cornwall CC,SW93407530,Porthilly Rock B,8/23/2021,ND,ND,ND,560,ND,ND,ND,,
665/21,Fal,B33AN,Cornwall PHA,SW81963551,Mylor Creek,8/24/2021,ND,40,ND,80,ND,ND,ND,,
666/21,Fal,B033Y,Cornwall PHA,SW85024095,Ruan Pontoon/Tregothnan,8/24/2021,ND,ND,ND,ND,ND,ND,ND,,
667/21,Fal,B33BD,Cornwall PHA,SW84093949,Trelissick Pontoon,8/24/2021,ND,ND,ND,ND,ND,ND,ND,,
668/21,Mevagissey Bay,B70AK,Cornwall PHA,SX05214698,South Mevagissey Bottom,8/23/2021,ND,40,ND,5400,ND,ND,ND,,
669/21,Porthallow Cove,B34AA,Cornwall PHA,SW80212383,Porthallow North,8/24/2021,ND,ND,ND,480,ND,ND,ND,,
670/21,Blakeney,B006R,North Norfolk DC,TF91804549,Wells - The Pool,8/24/2021,ND,ND,ND,1480,ND,ND,ND,,
671/21,Holy Island-Ross Links,B001M,Northumberland CC,NU12333958,Ross Links,8/24/2021,ND,ND,ND,ND,ND,ND,ND,,
672/21,Milford Haven,B39CZ,Pembrokeshire CC,SM89000275,Tethys Oyster,8/24/2021,ND,ND,ND,200,ND,ND,ND,,
673/21,Porlock,B094D,Somerset West and Taunton Council,SS87114787,Porlock East,8/24/2021,ND,ND,ND,ND,ND,ND,ND,,
674/21,Bigbury upon Avon,B030J,South Hams DC,SX67114467,South Hexdown North,8/24/2021,ND,ND,ND,200,ND,ND,ND,,
675/21,Brixham,B082B,Torbay BC,SX90965741,Fishcombe SW Corner,8/23/2021,ND,ND,ND,3800,ND,ND,ND,,
676/21,Lyme Bay,B090M,Torbay BC,UNVERIFIED,Site 1,8/23/2021,ND,ND,ND,1440,ND,ND,ND,,
677/21,Dee,B45AB,Flintshire CC,SJ17568056,Salisbury,8/25/2021,ND,ND,ND,2000,ND,ND,ND,,
678/21,Blackwater,B014V,Maldon DC,TL91160795,Goldhanger,8/24/2021,ND,ND,ND,ND,ND,ND,ND,,
679/21,Crouch,B015Y,Maldon DC,TQ90429738,Althorne,8/24/2021,ND,ND,ND,ND,ND,ND,ND,,
680/21,Dart,B028B,South Hams DC,SX87415599,Waddeton,8/25/2021,ND,ND,ND,ND,ND,ND,ND,,
681/21,Solent,B24BK,Southampton PHA,SZ57479794,Browndown,8/25/2021,ND,ND,ND,ND,ND,ND,ND,,
682/21,Southampton Water,B21AT,Southampton PHA,SU48760530,Hamble Estuary,8/25/2021,ND,ND,ND,ND,ND,ND,ND,,
683/21,Lune,BO66Z,Wyre BC,SD34194862,Knott Spit,8/25/2021,ND,200,ND,6200,ND,ND,ND,,
685/21,Exe,B26BH,Teignbridge DC,SX97948072,Cockwood Harbour,8/25/2021,ND,ND,ND,ND,ND,ND,ND,,
686/21,Teign,B27AC,Teignbridge DC,SX92827284,Gas Works East,8/25/2021,ND,ND,ND,ND,ND,ND,ND,,
687/21,Portland,B25AK,Dorset Council,SY68707757,Site A,8/31/2021,40,ND,ND,560,ND,ND,ND,,
688/21,Lantivet Bay,B70AH,Cornwall PHA,SX16305094,Sandheap Point,8/30/2021,ND,280,ND,ND,ND,ND,ND,,
689/21,St Austell Bay,B70AE,Cornwall PHA,SX05744972,Ropehaven Outer,8/30/2021,ND,1880,ND,ND,ND,ND,ND,,
690/21,Swansea,B037U,Swansea PHA,SS67659210,Queens Dock,8/31/2021,ND,ND,ND,520,ND,ND,ND,,
691/21,Butley,B009E,East Suffolk DC,TM39434850,Pumping Station Outfall,9/1/2021,ND,100,ND,ND,ND,ND,ND,,
692/21,Deben,B010O,East Suffolk DC,TM28834500,Stonner Point,9/1/2021,ND,ND,ND,ND,ND,ND,ND,,
693/21,Blackwater,B14AD,Maldon DC,TM04060768,St Peters Flats,9/1/2021,ND,ND,ND,ND,ND,ND,ND,,
694/21,Brancaster,B05AS,Kings Lynn & W Norfolk BC,TF79884539,Norton Creek Mussels,9/2/2021,ND,ND,ND,400,ND,ND,ND,,
695/21,West Mersea,B013Z,Colchester BC,TM00001301,The Hard,9/2/2021,ND,ND,ND,ND,ND,ND,ND,,
697/21,The Wash,B003V,Boston BC,TF44234098,Toft,9/6/2021,ND,ND,ND,ND,ND,ND,ND,,
698/21,North Kent Coast,B17BS,Canterbury CC,TR10326689,WOCO Westbeach,9/6/2021,ND,ND,ND,ND,ND,ND,ND,,
699/21,Lantivet Bay,B70AH,Cornwall PHA,SX16305094,Sandheap Point,9/6/2021,ND,320,ND,ND,ND,ND,ND,,
700/21,Mevagissey Bay,B70AK,Cornwall PHA,SX05214698,South Mevagissey Bottom,9/6/2021,ND,2960,ND,ND,ND,ND,40,,
701/21,St Austell Bay,B70AE,Cornwall PHA,SX05744972,Ropehaven Outer,9/6/2021,ND,1400,ND,ND,ND,ND,ND,,
702/21,The Wash,B04AP,Kings Lynn & W Norfolk BC,TF65963701,Stubborn Sand,9/6/2021,ND,ND,ND,1800,ND,ND,ND,,
703/21,Roach,B73AF,London PHA,TQ94909207,Paglesham,9/6/2021,ND,ND,ND,160,ND,ND,ND,,
704/21,Holy Island-Ross Links,B001M,Northumberland CC,NU12333958,Ross Links,9/5/2021,ND,ND,ND,160,ND,ND,ND,,
705/21,Dart,B028P,South Hams DC,SX87945350,Long Wood South,9/6/2021,ND,ND,ND,ND,ND,ND,ND,,
706/21,Start Bay,B087I,South Hams DC,SX84724671,Off Strete,9/6/2021,ND,ND,ND,ND,ND,ND,ND,,
707/21,Anglesey - Red Wharf Bay,B057J,Ynys Mon CC,SH53148022,Nodwydd,9/6/2021,ND,ND,ND,560,ND,ND,ND,,
708/21,Morecambe Bay - Barrow,B077Q,Barrow-in-Furness BC,SD23116464,Roa Island,9/7/2021,ND,ND,ND,480,ND,ND,ND,,
709/21,Conwy,B044V,Conwy CBC,SH76317972,Conwy West,9/7/2021,ND,ND,ND,ND,ND,ND,ND,,
710/21,Helford,B034W,Cornwall PHA,SW75462765,Porth Navas Quay,9/7/2021,ND,ND,ND,ND,ND,ND,ND,,
711/21,Portland,B25AK,Dorset Council,SY68707757,Site A,9/7/2021,ND,40,ND,160,ND,ND,ND,,
712/21,The Fleet,B25AI,Dorset Council,SY66477627,Fleet Oysters,9/7/2021,ND,ND,ND,320,ND,ND,ND,,
713/21,The Thames,B16CN,London PHA,TR06779599,Crouch Approach,9/7/2021,ND,ND,ND,ND,ND,ND,ND,,
714/21,The Thames,B16CM,London PHA,TR00508769,East of Havengore Creek,9/7/2021,ND,ND,ND,ND,ND,ND,ND,,
715/21,The Thames,B16BR,London PHA,TQ93798271,Phoenix,9/7/2021,ND,ND,ND,ND,ND,ND,ND,,
716/21,Crouch,B015Y,Maldon DC,TQ90429738,Althorne,9/7/2021,ND,ND,ND,ND,ND,ND,ND,,
717/21,Brixham,B082B,Torbay BC,SX90965741,Fishcombe SW Corner,9/7/2021,ND,40,ND,ND,ND,ND,ND,,
718/21,Lyme Bay,B090M,Torbay BC,UNVERIFIED,Site 1,9/6/2021,ND,400,ND,ND,ND,ND,ND,,
719/21,Taw/Torridge,B36AB,Torridge DC,SS46573142,Spratt Ridge East,9/6/2021,ND,ND,ND,11600,ND,ND,ND,,
720/21,Burry Inlet,B038Y,Carmarthenshire CC,SS50209860,Machynys,9/7/2021,ND,ND,ND,ND,ND,ND,ND,,
721/21,Fal,B33AN,Cornwall PHA,SW81963551,Mylor Creek,9/8/2021,ND,ND,ND,ND,ND,ND,ND,,
722/21,Fal,B033Y,Cornwall PHA,SW85024095,Ruan Pontoon/Tregothnan,9/8/2021,ND,ND,ND,ND,ND,ND,ND,,
723/21,Fal,B33BD,Cornwall PHA,SW84093949,Trelissick Pontoon,9/8/2021,ND,ND,ND,ND,ND,ND,ND,,
724/21,Porthallow Cove,B34AA,Cornwall PHA,SW80212383,Porthallow North,9/8/2021,ND,400,ND,80,ND,ND,40,,
725/21,Menai Strait East,B055S,Gwynedd CC,SH58337328,West of Bangor Pier,9/7/2021,ND,ND,ND,720,ND,ND,ND,,
726/21,Menai Strait West,B042O,Gwynedd CC,SH49916579,Area 11 East,9/8/2021,ND,ND,ND,160,ND,ND,ND,,
727/21,Milford Haven,B39CZ,Pembrokeshire CC,SM89000275,Tethys Oyster,9/7/2021,ND,ND,ND,ND,ND,ND,ND,,
728/21,Porlock,B094D,Somerset West and Taunton Council,SS87114787,Porlock East,9/8/2021,ND,ND,ND,400,ND,ND,ND,,
729/21,Solent,B24BK,Southampton PHA,SZ57479794,Browndown,9/8/2021,ND,ND,ND,ND,ND,ND,ND,,
730/21,Southampton Water,B21AT,Southampton PHA,SU48760530,Hamble Estuary,9/8/2021,ND,ND,ND,ND,ND,ND,ND,,
732/21,Lune,BO66Z,Wyre BC,SD34194862,Knott Spit,9/8/2021,ND,ND,ND,ND,ND,ND,ND,,
733/21,Dee,B45AB,Flintshire CC,SJ17568056,Salisbury,9/9/2021,ND,ND,ND,400,ND,ND,ND,,
734/21,Blakeney,B006R,North Norfolk DC,TF91804549,Wells - The Pool,9/9/2021,ND,ND,ND,25800,ND,ND,ND,,
735/21,Swale,B076P,Swale BC,TR01316497,The Causeway,9/9/2021,ND,ND,ND,ND,ND,ND,ND,,
736/21,Lantivet Bay,B70AH,Cornwall PHA,SX16305094,Sandheap Point,9/13/2021,ND,480,ND,ND,ND,ND,ND,,
737/21,Mevagissey Bay,B70AK,Cornwall PHA,SX05214698,South Mevagissey Bottom,9/13/2021,ND,1320,ND,160,ND,ND,ND,,
738/21,Swansea,B037U,Swansea PHA,SS67659210,Queens Dock,9/13/2021,ND,ND,ND,5720,ND,ND,ND,,
739/21,Butley,B009E,East Suffolk DC,TM39434850,Pumping Station Outfall,9/14/2021,ND,ND,ND,ND,ND,ND,ND,,
740/21,Deben,B010O,East Suffolk DC,TM28834500,Stonner Point,9/14/2021,ND,ND,ND,ND,ND,ND,ND,,
741/21,Blackwater,B14AD,Maldon DC,TM04060768,St Peters Flats,9/14/2021,ND,ND,ND,1400,ND,ND,ND,,
742/21,Lyme Bay,B090M,Torbay BC,UNVERIFIED,Site 1,9/13/2021,ND,80,ND,160,ND,ND,ND,,
743/21,West Mersea,B013Z,Colchester BC,TM00001301,The Hard,9/15/2021,ND,ND,ND,ND,ND,ND,ND,,
745/21,Porthallow Cove,B34AA,Cornwall PHA,SW80212383,Porthallow North,9/15/2021,ND,160,ND,400,ND,ND,80,,
746/21,Blackwater,B014V,Maldon DC,TL91160795,Goldhanger,9/15/2021,ND,ND,ND,ND,ND,ND,ND,,
747/21,Exe,B26BH,Teignbridge DC,SX97948072,Cockwood Harbour,9/15/2021,ND,ND,ND,600,ND,ND,ND,,
748/21,Teign,B27AC,Teignbridge DC,SX92827284,Gas Works East,9/15/2021,ND,ND,ND,280,ND,ND,ND,,
749/21,Poole,B54CI,"Bournemouth, Poole and Christchurch Council",SZ01818871,West Brownsea 1,9/16/2021,ND,ND,ND,400,ND,ND,ND,,
750/21,Brancaster,B05AS,Kings Lynn & W Norfolk BC,TF79884539,Norton Creek Mussels,9/16/2021,ND,ND,ND,1800,ND,ND,ND,,
751/21,Lantivet Bay,B70AH,Cornwall PHA,SX16305094,Sandheap Point,9/20/2021,ND,240,ND,ND,ND,ND,ND,,
752/21,Mevagissey Bay,B70AK,Cornwall PHA,SX05214698,South Mevagissey Bottom,9/20/2021,ND,1000,ND,ND,ND,ND,ND,,
753/21,Roach,B73AF,London PHA,TQ94909207,Paglesham,9/20/2021,ND,ND,ND,400,ND,ND,100,,
754/21,Anglesey - Red Wharf Bay,B057J,Ynys Mon CC,SH53148022,Nodwydd,9/20/2021,ND,ND,ND,1800,ND,ND,ND,,
755/21,Morecambe Bay - Barrow,B077Q,Barrow-in-Furness BC,SD23116464,Roa Island,9/21/2021,ND,ND,ND,960,ND,ND,ND,,
756/21,Burry Inlet,B038Y,Carmarthenshire CC,SS50209860,Machynys,9/21/2021,ND,ND,18520,ND,ND,ND,ND,,
757/21,Burry Inlet,B038I,City and Council of Swansea,SS50509590,South East 4,9/21/2021,ND,ND,ND,ND,ND,ND,ND,,
758/21,Burry Inlet,B038L,City and Council of Swansea,SS43409470,Whitford Point,9/20/2021,ND,ND,ND,ND,ND,ND,ND,,
759/21,Conwy,B044V,Conwy CBC,SH76317972,Conwy West,9/21/2021,ND,ND,ND,800,ND,ND,ND,,
760/21,The Fleet,B25AI,Dorset Council,SY66477627,Fleet Oysters,9/21/2021,ND,ND,ND,ND,ND,ND,ND,,
761/21,Brixham,B082B,Torbay BC,SX90965741,Fishcombe SW Corner,9/21/2021,ND,120,ND,440,ND,ND,ND,,
762/21,North Kent Coast,B17BS,Canterbury CC,TR10326689,WOCO Westbeach,9/21/2021,ND,ND,ND,ND,ND,ND,200,,
763/21,Fal,B33AN,Cornwall PHA,SW81963551,Mylor Creek,9/22/2021,ND,ND,ND,200,ND,ND,ND,,
764/21,Fal,B033Y,Cornwall PHA,SW85024095,Ruan Pontoon/Tregothnan,9/22/2021,ND,ND,ND,ND,ND,ND,ND,,
765/21,Fal,B33BD,Cornwall PHA,SW84093949,Trelissick Pontoon,9/22/2021,ND,ND,ND,ND,ND,ND,ND,,
766/21,Helford,B034W,Cornwall PHA,SW75462765,Porth Navas Quay,9/22/2021,ND,ND,ND,400,ND,ND,ND,,
767/21,Porthallow Cove,B34AA,Cornwall PHA,SW80212383,Porthallow North,9/22/2021,ND,760,ND,80,ND,ND,ND,,
768/21,Dee,B45AB,Flintshire CC,SJ17568056,Salisbury,9/22/2021,"Unable to analyse, too much sediment","Unable to analyse, too much sediment","Unable to analyse, too much sediment","Unable to analyse, too much sediment","Unable to analyse, too much sediment","Unable to analyse, too much sediment","Unable to analyse, too much sediment",,
769/21,Menai Strait East,B055S,Gwynedd CC,SH58337328,West of Bangor Pier,9/21/2021,ND,200,ND,2800,ND,ND,ND,,
770/21,Menai Strait West,B042O,Gwynedd CC,SH49916579,Area 11 East,9/21/2021,ND,ND,ND,1200,ND,ND,200,,
771/21,The Thames,B16CN,London PHA,TR06779599,Crouch Approach,9/22/2021,ND,ND,ND,1500,ND,ND,ND,,
772/21,The Thames,B16CM,London PHA,TR00508769,East of Havengore Creek,9/22/2021,ND,ND,ND,ND,ND,ND,ND,,
773/21,The Thames,B16BR,London PHA,TQ93798271,Phoenix,9/22/2021,ND,ND,ND,ND,ND,ND,ND,,
774/21,Milford Haven,B39CZ,Pembrokeshire CC,SM89000275,Tethys Oyster,9/22/2021,ND,ND,ND,ND,ND,ND,ND,,
775/21,Solent,B24BK,Southampton PHA,SZ57479794,Browndown,9/22/2021,ND,ND,ND,ND,ND,ND,ND,,
776/21,Southampton Water,B21AT,Southampton PHA,SU48760530,Hamble Estuary,9/22/2021,ND,ND,ND,ND,ND,ND,ND,,
777/21,Taw/Torridge,B36AB,Torridge DC,SS46573142,Spratt Ridge East,9/22/2021,ND,ND,ND,ND,ND,ND,ND,,
778/21,Porlock,B094D,Somerset West and Taunton Council,SS87114787,Porlock East,9/22/2021,ND,ND,ND,400,ND,ND,ND,,
779/21,Camel,B35AE,Cornwall CC,SW93407530,Porthilly Rock B,9/27/2021,ND,ND,ND,ND,ND,ND,ND,,
780/21,Lantivet Bay,B70AH,Cornwall PHA,SX16305094,Sandheap Point,9/27/2021,ND,100,ND,ND,ND,ND,ND,,
781/21,Mevagissey Bay,B70AK,Cornwall PHA,SX05214698,South Mevagissey Bottom,9/27/2021,ND,80,ND,1080,ND,ND,ND,,
782/21,Holy Island-Ross Links,B001M,Northumberland CC,NU12333958,Ross Links,9/26/2021,ND,ND,ND,ND,ND,ND,ND,,
783/21,Swansea,B037U,Swansea PHA,SS67659210,Queens Dock,9/27/2021,ND,ND,ND,11160,ND,ND,ND,,
784/21,Butley,B009E,East Suffolk DC,TM39434850,Pumping Station Outfall,9/28/2021,ND,ND,ND,ND,ND,ND,ND,,
785/21,Deben,B010O,East Suffolk DC,TM28834500,Stonner Point,9/28/2021,ND,ND,ND,ND,ND,ND,ND,,
786/21,Blackwater,B014V,Maldon DC,TL91160795,Goldhanger,9/27/2021,ND,ND,ND,ND,ND,ND,ND,,
787/21,Blakeney,B006R,North Norfolk DC,TF91804549,Wells - The Pool,9/28/2021,ND,ND,ND,2520,ND,ND,ND,,
788/21,Dart,B028B,South Hams DC,SX87415599,Waddeton,9/28/2021,ND,ND,ND,ND,ND,ND,ND,,
789/21,Brixham,B082B,Torbay BC,SX90965741,Fishcombe SW Corner,9/28/2021,ND,ND,ND,320,ND,ND,ND,,
790/21,Porthallow Cove,B34AA,Cornwall PHA,SW80212383,Porthallow North,9/29/2021,ND,ND,ND,ND,ND,ND,ND,,
791/21,Exe,B26BH,Teignbridge DC,SX97948072,Cockwood Harbour,9/29/2021,ND,ND,ND,ND,ND,ND,ND,,
792/21,Teign,B27AC,Teignbridge DC,SX92827284,Gas Works East,9/29/2021,ND,ND,ND,ND,ND,ND,ND,,
793/21,West Mersea,B013Z,Colchester BC,TM00001301,The Hard,10/4/2021,ND,ND,ND,ND,ND,ND,ND,,
795/21,Helford,B034W,Cornwall PHA,SW75462765,Porth Navas Quay,10/4/2021,ND,ND,ND,ND,ND,ND,ND,,
796/21,Lantivet Bay,B70AH,Cornwall PHA,SX16305094,Sandheap Point,10/4/2021,ND,ND,ND,ND,ND,ND,ND,,
797/21,Mevagissey Bay,B70AK,Cornwall PHA,SX05214698,South Mevagissey Bottom,10/4/2021,ND,ND,ND,2560,ND,ND,ND,,
798/21,Roach,B73AF,London PHA,TQ94909207,Paglesham,10/4/2021,ND,ND,ND,ND,ND,ND,ND,,
799/21,Holy Island-Ross Links,B001M,Northumberland CC,NU12333958,Ross Links,10/3/2021,ND,ND,100,ND,ND,ND,ND,,
800/21,Anglesey - Red Wharf Bay,B057J,Ynys Mon CC,SH53148022,Nodwydd,10/4/2021,ND,ND,ND,1640,ND,ND,ND,,
801/21,Dart,B028P,South Hams DC,SX87945350,Long Wood South,10/5/2021,ND,ND,ND,ND,ND,ND,ND,,
802/21,Start Bay,B087I,South Hams DC,SX84724671,Off Strete,10/5/2021,ND,ND,ND,ND,ND,ND,ND,,
803/21,Brixham,B082B,Torbay BC,SX90965741,Fishcombe SW Corner,10/4/2021,ND,80,ND,ND,ND,ND,ND,,
804/21,Taw/Torridge,B36AB,Torridge DC,SS46573142,Spratt Ridge East,10/4/2021,ND,ND,ND,ND,ND,ND,ND,,
805/21,Morecambe Bay - Barrow,B077Q,Barrow-in-Furness BC,SD23116464,Roa Island,10/6/2021,ND,ND,ND,800,ND,ND,ND,,
806/21,Porlock Relay,B094E,Somerset West and Taunton Council,SS87184778,Porlock Relay,10/6/2021,ND,ND,ND,ND,ND,ND,ND,,
807/21,Bigbury upon Avon,B030J,South Hams DC,SX67114467,South Hexdown North,10/6/2021,ND,ND,ND,ND,ND,ND,ND,,
808/21,The Thames,B16BS,London PHA,TQ88148489,West of Southend Pier,10/7/2021,ND,ND,ND,4800,ND,ND,ND,,
809/21,Blackwater,B14AD,Maldon DC,TM04060768,St Peters Flats,10/7/2021,ND,ND,ND,12500,ND,ND,ND,,
810/21,Langstone Harbour,B019I,Portsmouth PHA,SU70560339,Stoke Common Lake,10/6/2021,ND,ND,ND,ND,ND,ND,ND,,
811/21,Portsmouth Harbour,B020H,Portsmouth PHA,SU62850544,Paulsgrove,10/5/2021,ND,ND,ND,400,ND,ND,ND,,
812/21,Camel,B35AE,Cornwall CC,SW93407530,Porthilly Rock B,10/11/2021,ND,ND,ND,ND,ND,ND,ND,,
813/21,Lantivet Bay,B70AH,Cornwall PHA,SX16305094,Sandheap Point,10/11/2021,ND,ND,ND,320,ND,ND,ND,,
